VPN,VPN Affiliate Link,VPN Standard Link,History,Honest Marketing,Jurisdiction,Outside 14 Eyes,Transparency Report,Warrant Canary,Logging Policy,Open Source Clients,No Analytics,Max Data Encryption,Max Handshake Encryption,OpenVPN,Wireguard,Killswitch,IPV6 Protection,2FA,Audits,1st-Party DNS,Custom DNS,Anon Payment,Anon Registration,1st-Party Servers,P2P Friendly,Multihop,Port Forwarding,Helps Privacy Causes,Affiliate Program,Total Servers,Total Countries,Simultaneous Devices,Windows Client,MacOS Client,Linux Client,Android Client,Native F-Droid Client,iOS Client
TorGuard,None,https://torguard.net,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/torguard,No,USA🇺🇸,No,No,No,No Logs,No,No,AES 256,RSA 2048,Yes,Yes,Yes,Yes,Yes,No,Yes,??,Gift Card/Crypto,No,No,Yes,No,Yes,No,Yes,3000,68,5,Yes,Yes,GUI,Yes,No,Yes
OECK,None,https://www.oeck.com/,None,Yes,Hong Kong🇭🇰,Yes,No,Yes,No Logs/Diskless,No,Yes,AES 256,DHE 4096,Yes,No,Yes,Yes,Yes,No,Yes,??,Cash/Crypto,Yes,Yes,Yes,No,Yes,Yes,No,N/A,4,6,Yes,Yes,CLI,Yes,No,Yes
OVPN,None,https://www.ovpn.com/,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/ovpn,Yes,Sweden🇸🇪,No,Yes,No,No Logs/Diskless,No,No,AES 256,DHE 4096,Yes,Yes,Yes,Yes,No,No,Yes,??,Cash/XMR/Crypto,Yes,No,Yes,Yes,Yes,Yes,Yes,32,16,4,Yes,Yes,GUI,Yes,No,Yes
CyberGhost,None,https://www.cyberghostvpn.com,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/cyberghost,No,Romania🇷🇴,Yes,Yes,No,No Logs,No,No,AES 256,RSA 4096,Yes,Yes,Yes,Yes,No,Yes,Yes,??,No,No,No,Yes,No,No,No,Yes,9106,91,5,Yes,Yes,CLI,Yes,No,Yes
ExpressVPN,None,https://www.expressvpn.com,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/express-vpn,Yes,BVI🇻🇬,Yes,No,No,Bandwidth,No,No,AES 256,RSA 4096,Yes,Lightway - Proprietary,Yes,Yes,No,Yes,Yes,??,Crypto,No,No,Yes,No,Yes,Yes,Yes,3000,94,5,Yes,Yes,CLI,Yes,No,Yes
IPVanish,None,https://www.ipvanish.com,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/ip-vanish,Yes,USA🇺🇸,No,No,No,No Logs,No,No,AES 256,RSA 2048,Yes,Yes,Yes,Yes,No,Yes,Yes,??,No,No,No,Yes,No,No,Yes,Yes,2200,75,10,Yes,Yes,No,Yes,No,Yes
TunnelBear,None,https://www.tunnelbear.com,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/tunnel-bear,Yes,Canada🇨🇦,No,No,No,No Logs,No,No,AES 256,RSA 4096,Yes,Yes,Yes,Yes,No,Yes,Yes,??,Crypto,No,No,Yes,No,No,Yes,Yes,??,47,5,Yes,Yes,No,Yes,No,Yes
StrongVPN,None,https://strongvpn.com,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/strongvpn,Yes,USA🇺🇸,No,No,No,No Logs,No,No,AES 256,RSA 2048,Yes,Yes,Yes,Yes,No,No,No,??,No,No,No,No,No,No,Yes,Yes,950,30,12,Yes,Yes,No,Yes,No,Yes
AstrillVPN,None,https://www.astrill.com/,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/astrill,No,Seychelles🇸🇨,Yes,No,No,Keep Logs,No,No,AES 256,RSA 2048,Yes,Yes,Yes,Yes,No,No,No,??,XMR/Crypto,No,No,Yes,Yes,Yes,No,Yes,113,57,5,Yes,Yes,GUI,Yes,No,Yes
SlickVPN,None,https://www.slickvpn.com,None,No,USA🇺🇸,No,No,Yes,No Logs,No,No,AES 256,??,Yes,No,Yes,Yes,No,No,Yes,??,Crypto,No,No,Yes,Yes,No,No,Yes,150,40,5,Yes,Yes,No,No,No,No
Bytz VPN,None,https://bytzvpn.com/ovpn/,None,No,USA🇺🇸,No,No,No,No Logs,No,No,??,??,Yes,No,No,??,No,No,??,??,Crypto,Yes,No,??,??,??,No,No,??,1,6,No,No,No,No,No,No
PureVPN,None,https://www.purevpn.com,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/pure-vpn,No,Hong Kong🇭🇰,No,No,No,Timestamps/Bandwidth,No,No,AES 256,RSA 2048,Yes,Yes,Yes,Yes,No,Yes,Yes,??,No,No,No,No,No,Yes,No,Yes,6500,70,5,Yes,Yes,CLI,Yes,No,Yes
Ivacy,None,https://www.ivacy.com,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/ivacy-vpn,No,Singapore🇸🇬,Yes,No,No,No Logs,No,No,AES 256,RSA 4096,Yes,Yes,Yes,Yes,No,No,Yes,??,No,No,No,Yes,No,Yes,No,Yes,6500,60,5,Yes,Yes,CLI,Yes,No,Yes
HideMyAss,None,https://www.hidemyass.com,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/hide-my-ass,Yes,UK🇬🇧,No,No,No,Keep Logs,No,No,AES 256,RSA 4096,Yes,No,No,No,No,Yes,Yes,??,No,No,No,Yes,No,No,No,Yes,1080,210,5,Yes,Yes,CLI,Yes,No,Yes
